위도,경도,index,대지위치,총주차대수(대)
36.49915,127.24736,,,
36.49915,127.24736,,,
36.499447,127.246608,,,
36.499447,127.246608,,,
36.499447,127.246608,,,
36.506482,127.249622,,,
36.50181,127.252595,,,
36.50181,127.252595,,,
36.502218,127.247413,,,
36.502218,127.247413,,,
36.502218,127.247413,,,
36.502218,127.247413,,,
36.502218,127.247413,,,
36.502218,127.247413,,,
36.502082,127.242595,,,
36.502082,127.242595,,,
36.501883,127.242585,,,
36.501883,127.242585,,,
36.501915,127.246928,,,
36.501915,127.246928,,,
36.501915,127.246928,,,
36.501915,127.246928,,,
36.501915,127.246928,,,
36.501915,127.246928,,,
36.501588,127.252563,,,
36.501588,127.252563,,,
36.505072,127.243652,,,
36.505072,127.243652,,,
36.505142,127.248972,,,
36.505142,127.248972,,,
36.505142,127.248972,,,
36.505243,127.244382,,,
36.505243,127.244382,,,
36.504952,127.248745,,,
36.504952,127.248745,,,
36.504952,127.248745,,,
36.500473,127.249862,,,
36.500473,127.249862,,,
36.500473,127.249862,,,
36.500473,127.249862,,,
36.50092,127.249782,,,
36.50092,127.249782,,,
36.50092,127.249782,,,
36.50092,127.249782,,,
36.49973,127.242412,,,
36.49973,127.242412,,,
36.49973,127.242412,,,
36.49973,127.242412,,,
36.499515,127.242547,,,
36.499515,127.242547,,,
36.499515,127.242547,,,
36.504378,127.25017,,,
36.503805,127.241383,,,
36.507628,127.241617,,,
36.49989433,127.2406435,,,
36.49988552,127.2406727,,,
36.49985205,127.2406841,,,
36.49960531,127.2406387,,,
36.49956243,127.2406135,,,
36.49955213,127.2405698,,,
36.49994429,127.240764,,,
36.49931211,127.2446932,,,
36.49962682,127.2447078,,,
36.49968354,127.2448157,,,
36.49968101,127.2450103,,,
36.49958705,127.2451345,,,
36.49930418,127.2451111,,,
36.49939088,127.2493401,,,
36.49899945,127.2494236,,,
36.49930944,127.249456,,,
36.49939659,127.249079,,,
36.49934379,127.2489355,,,
36.5002665,127.2494103,,,
36.50016691,127.2496751,,,
36.50042879,127.249848,,,
36.50054056,127.2495926,,,
36.50186285,127.250278,,,
36.50195761,127.2502068,,,
36.50213907,127.2502151,,,
36.50220789,127.2502929,,,
36.50221338,127.2505722,,,
36.50185786,127.2505535,,,
36.50193098,127.2506183,,,
36.50337654,127.2503309,,,
36.50335,127.2501243,,,
36.50389061,127.249978,,,
36.50406499,127.2499567,,,
36.50392094,127.2503042,,,
36.50408498,127.250251,,,
36.50480362,127.249834,,,
36.50489883,127.2496993,,,
36.50478004,127.2500718,,,
36.50482319,127.2501366,,,
36.50507892,127.2501151,,,
36.50516142,127.2500401,,,
36.50518157,127.2497639,,,
36.50510626,127.2496846,,,
36.50610033,127.2495771,,,
36.5061286,127.2498746,,,
36.50052513,127.2448972,,,
36.50051897,127.2450853,,,
36.50167921,127.244916,,,
36.5017252,127.2448658,,,
36.50192607,127.2448648,,,
36.50201199,127.2449669,,,
36.50201776,127.2451612,,,
36.50197357,127.2452239,,,
36.50177593,127.2452276,,,
36.50167859,127.2451298,,,
36.50498218,127.2450242,,,
36.50309548,127.2451355,,,
36.50309868,127.2449652,,,
36.50353242,127.2449712,,,
36.50352192,127.2451703,,,
36.50413125,127.2449577,,,
36.50412744,127.2451136,,,
36.50498026,127.2451983,,,
36.50503089,127.2452774,,,
36.50502287,127.2449229,,,
36.505223,127.2449523,,,
36.50529818,127.2450563,,,
36.50529902,127.2452261,,,
36.5052511,127.2452826,,,
36.50590023,127.2450443,,,
36.50587649,127.2452538,,,
36.50612896,127.2450475,,,
36.50612567,127.2452505,,,
36.50229327,127.2410147,,,
36.50220587,127.2411246,,,
36.50200341,127.241119,,,
36.50193149,127.2410267,,,
36.50359559,127.2411667,,,
36.50504276,127.2412998,,,
36.50540116,127.2413111,,,
36.50533761,127.2414102,,,
36.505143,127.2414007,,,
36.50508544,127.2428041,,,
36.50532521,127.2427988,,,
36.50530853,127.2432705,,,
36.50509425,127.2432869,,,
36.50517444,127.247229,,,
36.50501192,127.2472157,,,
36.5049431,127.2490342,,,
36.50491855,127.2492096,,,
36.50448423,127.2522625,,,
36.50426605,127.2521272,,,
36.50414656,127.2524826,,,
36.50437137,127.2525888,,,
36.50133635,127.2537279,,,
36.50155376,127.253772,,,
36.50161903,127.2534477,,,
36.5014287,127.2533922,,,
36.50180894,127.2517209,,,
36.50194774,127.2517552,,,
36.50214263,127.2506557,,,
36.50221609,127.2481194,,,
36.50220498,127.2477749,,,
36.50198588,127.2477622,,,
36.502012,127.2481017,,,
36.50197389,127.2436742,,,
36.50198647,127.2433244,,,
36.50177701,127.2433094,,,
36.50175828,127.2436675,,,
36.50186476,127.24261,,,
36.50204522,127.2426383,,,
36.49990352,127.2403926,,,
36.50866835,127.2412839,,,
36.50196431,127.2407631,,,
36.49988023,127.2403379,,,
36.49957585,127.2402785,,,
36.50860661,127.2415959,,,
36.50868812,127.2427335,,,
36.50823236,127.2455276,,,
36.50819766,127.245709,,,
36.50741459,127.2496832,,,
36.50735295,127.249918,,,
36.5034388,127.2473306,3415,세종특별자치시  종촌동 1354-5번지,15.0
36.5034388,127.2473306,3419,세종특별자치시  종촌동 160번지,103.0
36.5042272,127.2497555,3421,세종특별자치시  종촌동 659번지,215.0
36.5037465,127.2497052,3422,세종특별자치시  종촌동 664번지,160.0
36.5026153,127.2481851,3423,세종특별자치시  종촌동 672번지,5206.0
36.5025906,127.2475653,3424,세종특별자치시  종촌동 673번지,404.0
36.503721,127.249759,공영,세종특별자치시 종촌동 664,160.0
