위도,경도,index,대지위치,총주차대수(대)
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.51497,127.258793,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.514017,127.259393,,,
36.51233,127.2668,,,
36.51483,127.25896,,,
36.51483,127.25896,,,
36.51483,127.25896,,,
36.514065,127.259187,,,
36.514065,127.259187,,,
36.514065,127.259187,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.509165,127.261513,,,
36.50843,127.26785,,,
36.517445,127.264615,,,
36.51532,127.265972,,,
36.51484,127.266072,,,
36.51865,127.25702,,,
36.51865,127.25702,,,
36.51865,127.25702,,,
36.51865,127.25702,,,
36.51872,127.25616,,,
36.51872,127.25616,,,
36.51872,127.25616,,,
36.51872,127.25616,,,
36.510807,127.266985,,,
36.517408,127.264915,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.512113,127.259442,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.511917,127.260002,,,
36.520517,127.25948,,,
36.520517,127.25948,,,
36.520517,127.25948,,,
36.521617,127.259735,,,
36.521617,127.259735,,,
36.521617,127.259735,,,
36.5205,127.259685,,,
36.5205,127.259685,,,
36.5205,127.259685,,,
36.5205,127.259685,,,
36.5205,127.259685,,,
36.52169,127.259633,,,
36.52169,127.259633,,,
36.52169,127.259633,,,
36.52169,127.259633,,,
36.52169,127.259633,,,
36.524977,127.263183,,,
36.524572,127.263285,,,
36.523357,127.266377,,,
36.52378,127.266403,,,
36.50870081,127.261234,,,
36.50873889,127.2616795,,,
36.50751247,127.2558589,,,
36.5075372,127.2559788,,,
36.51867416,127.2564062,,,
36.51881576,127.256511,,,
36.51895857,127.2554234,,,
36.51893992,127.2555217,,,
36.5115821,127.2524846,,,
36.51141979,127.2524611,,,
36.52528803,127.2618229,,,
36.52505345,127.2616827,,,
36.52511662,127.2611184,,,
36.5249768,127.261542,,,
36.52505984,127.2627879,,,
36.52502572,127.2629304,,,
36.52296096,127.2676329,,,
36.51889651,127.2566503,,,
36.51883964,127.2568436,,,
36.51872466,127.2568785,,,
36.51855102,127.2568001,,,
36.51848871,127.2566621,,,
36.51853118,127.2565026,,,
36.51768744,127.2563856,,,
36.51773262,127.2561586,,,
36.51716732,127.2559652,,,
36.51713853,127.2561622,,,
36.5171127,127.2559118,,,
36.51699425,127.2558722,,,
36.51694434,127.2559066,,,
36.5169284,127.2561129,,,
36.51642823,127.2557651,,,
36.51640287,127.2559715,,,
36.51633485,127.2560442,,,
36.51618238,127.2560387,,,
36.51650473,127.2561373,,,
36.51553879,127.2555989,,,
36.51551727,127.255823,,,
36.51544307,127.255834,,,
36.51530827,127.2558083,,,
36.51491257,127.2555414,,,
36.51491062,127.2557422,,,
36.51486264,127.2554869,,,
36.51479092,127.2554853,,,
36.51441733,127.2555098,,,
36.51440477,127.2557147,,,
36.51423792,127.2554892,,,
36.51424293,127.2556792,,,
36.51311671,127.2554543,,,
36.51314012,127.2556835,,,
36.51246526,127.2554315,,,
36.51236776,127.2554944,,,
36.51233875,127.2555416,,,
36.51235611,127.2557066,,,
36.51254635,127.2557205,,,
36.51242833,127.2557393,,,
36.51194404,127.2555449,,,
36.51198783,127.2557751,,,
36.51181719,127.2554223,,,
36.5116725,127.2554596,,,
36.51161134,127.255561,,,
36.5116509,127.2557773,,,
36.51194921,127.2558678,,,
36.51183234,127.2559029,,,
36.50801058,127.2578114,,,
36.50797599,127.2575847,,,
36.50855598,127.2572171,,,
36.50866642,127.2571167,,,
36.50966201,127.2562453,,,
36.50974327,127.2563944,,,
36.50979934,127.2561043,,,
36.51091941,127.2556558,,,
36.51103387,127.2556483,,,
36.5155292,127.2552609,,,
36.51549627,127.2553445,,,
36.51599164,127.2553656,,,
36.51598601,127.2554643,,,
36.52121723,127.259401,,,
36.5211551,127.259775,,,
36.5206061,127.2591974,,,
36.51803167,127.2587481,,,
36.51780444,127.2587138,,,
36.5177084,127.2588083,,,
36.51767075,127.2592508,,,
36.51797499,127.2593305,,,
36.51778267,127.2593448,,,
36.52420645,127.2646948,,,
36.52442469,127.2647936,,,
36.5230694,127.2673741,,,
36.52296895,127.2671966,,,
36.52293654,127.26712,,,
36.52293735,127.2670528,,,
36.52021463,127.2640831,,,
36.52007744,127.2640782,,,
36.52002608,127.2640499,,,
36.51997302,127.2642752,,,
36.5185416,127.264011,,,
36.51834242,127.264095,,,
36.51829981,127.2641721,,,
36.51833191,127.2643829,,,
36.51613431,127.2653202,,,
36.51613698,127.2655576,,,
36.51606694,127.2652546,,,
36.51588727,127.2653469,,,
36.51582715,127.2654934,,,
36.51582182,127.2657124,,,
36.51604662,127.2657131,,,
36.51591184,127.2657943,,,
36.51592879,127.2668536,,,
36.51584273,127.2668546,,,
36.51465899,127.2682542,,,
36.51489891,127.2683865,,,
36.51454411,127.2681396,,,
36.51413909,127.2679799,,,
36.51401476,127.2679955,,,
36.51398454,127.2679214,,,
36.51395742,127.2678219,,,
36.51404338,127.2677924,,,
36.51380696,127.2670101,,,
36.51379257,127.266872,,,
36.51376727,127.2666761,,,
36.51389043,127.266655,,,
36.51398107,127.26654,,,
36.51395931,127.2663131,,,
36.51381614,127.2662501,,,
36.51365009,127.2663013,,,
36.51362943,127.2663904,,,
36.51364115,127.266582,,,
36.51309674,127.2667221,,,
36.51299053,127.2667259,,,
36.51259086,127.2667574,,,
36.51245386,127.266791,,,
36.51173644,127.266887,,,
36.51172376,127.2666678,,,
36.5115891,127.2666801,,,
36.51149275,127.2666917,,,
36.51142735,127.2667904,,,
36.51148365,127.2669498,,,
36.50966662,127.2674786,,,
36.50968851,127.2676633,,,
36.50665546,127.2724968,,,
36.5065702,127.2727403,,,
36.50897244,127.269264,,,
36.50898599,127.2693836,,,
36.50901691,127.2694294,,,
36.5090879,127.2693993,,,
36.50906911,127.2691913,,,
36.50900005,127.2691992,,,
