위도,경도,index,대지위치,총주차대수(대)
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.60099,127.29713,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.599942,127.29819,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.5884,127.29841,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.58577,127.29582,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.586698,127.297173,,,
36.59127,127.29897,,,
36.59127,127.29897,,,
