위도,경도,index,대지위치,총주차대수(대)
36.489882,127.249903,,,
36.489882,127.249903,,,
36.489882,127.249903,,,
36.489882,127.249903,,,
36.489882,127.249903,,,
36.485848,127.250855,,,
36.485848,127.250855,,,
36.485848,127.250855,,,
36.485848,127.250855,,,
36.485848,127.250855,,,
36.485132,127.25094,,,
36.485132,127.25094,,,
36.485132,127.25094,,,
36.485132,127.25094,,,
36.485132,127.25094,,,
36.4825,127.253517,,,
36.4825,127.253517,,,
36.4825,127.253517,,,
36.4825,127.253517,,,
36.4825,127.253517,,,
36.482392,127.253277,,,
36.482392,127.253277,,,
36.482392,127.253277,,,
36.482392,127.253277,,,
36.482392,127.253277,,,
36.483235,127.251393,,,
36.483235,127.251393,,,
36.483393,127.251275,,,
36.483393,127.251275,,,
36.4826,127.247455,,,
36.4826,127.247455,,,
36.48279,127.247415,,,
36.48279,127.247415,,,
36.485427,127.245547,,,
36.485427,127.245547,,,
36.485337,127.245223,,,
36.485337,127.245223,,,
36.48695,127.249293,,,
36.48695,127.249293,,,
36.487138,127.249253,,,
36.487138,127.249253,,,
36.480455,127.249332,,,
36.489455,127.244837,,,
36.489595,127.244768,,,
36.490902,127.255042,,,
36.490902,127.255042,,,
36.490573,127.250817,,,
36.490573,127.250817,,,
36.482877,127.24617,,,
36.482855,127.245913,,,
36.48663,127.247012,,,
36.486482,127.247073,,,
36.48844,127.250695,,,
36.49080412,127.2547635,,,
36.49098871,127.2547195,,,
36.49088571,127.2538379,,,
36.49071059,127.2538637,,,
36.49044811,127.2542887,,,
36.49045541,127.2544311,,,
36.49079345,127.2524227,,,
36.49058966,127.2524439,,,
36.49069028,127.2502031,,,
36.4905103,127.2502263,,,
36.490318,127.2500294,,,
36.49029968,127.249806,,,
36.49046397,127.2494991,,,
36.49065057,127.2494574,,,
36.49025941,127.2472228,,,
36.49004145,127.2472983,,,
36.49001011,127.2463673,,,
36.48983681,127.2464454,,,
36.48973345,127.2470408,,,
36.4896981,127.2469231,,,
36.48938713,127.2439099,,,
36.48917629,127.2439806,,,
36.48873571,127.2435474,,,
36.48884541,127.2438175,,,
36.48769891,127.2441491,,,
36.48757118,127.2442163,,,
36.48672215,127.2446666,,,
36.48664174,127.2446827,,,
36.48658554,127.2441734,,,
36.48655276,127.2440637,,,
36.48615714,127.2449445,,,
36.48622665,127.2451694,,,
36.48618496,127.2452833,,,
36.4860563,127.2453215,,,
36.48594415,127.2452949,,,
36.48590599,127.2450535,,,
36.48262514,127.2459137,,,
36.4826334,127.2461309,,,
36.48257074,127.2462526,,,
36.48241391,127.2462918,,,
36.47968363,127.246042,,,
36.47973463,127.2462879,,,
36.48088441,127.250369,,,
36.48086663,127.2506182,,,
36.48073696,127.2501986,,,
36.48091395,127.2505407,,,
36.48178027,127.2533522,,,
36.48183677,127.2535692,,,
36.48318178,127.2576323,,,
36.48323764,127.257776,,,
36.488699,127.2473169,,,
36.48858412,127.2473529,,,
36.48850899,127.247413,,,
36.48853979,127.2475248,,,
36.4871832,127.2477942,,,
36.4871917,127.2479631,,,
36.48678507,127.2474739,,,
36.48659886,127.2475383,,,
36.48703094,127.2483297,,,
36.48683137,127.2484113,,,
36.48640109,127.2481002,,,
36.48640107,127.2479433,,,
36.48598044,127.2481686,,,
36.48596013,127.2480705,,,
36.48582584,127.2480572,,,
36.48569114,127.2480892,,,
36.48547902,127.2481914,,,
36.4854948,127.2483023,,,
36.48466628,127.2484748,,,
36.48468954,127.2485742,,,
36.48389606,127.2488581,,,
36.48383869,127.2488686,,,
36.48395738,127.248991,,,
36.48390004,127.2490532,,,
36.48373706,127.2489372,,,
36.48368884,127.2489937,,,
36.48372943,127.2491259,,,
36.48376798,127.2491288,,,
36.48333113,127.249273,,,
36.48337869,127.2494061,,,
36.48304215,127.2491355,,,
36.4828521,127.2491722,,,
36.48267752,127.2497246,,,
36.48276031,127.2498828,,,
36.48300847,127.2500653,,,
36.48319633,127.2500125,,,
36.48210797,127.2502145,,,
36.48208125,127.2502063,,,
36.48213988,127.2503172,,,
36.48210614,127.2503722,,,
36.48197988,127.2502594,,,
36.48200768,127.2504061,,,
36.48283124,127.2531859,,,
36.48292833,127.2534783,,,
36.48309334,127.2534543,,,
36.48329175,127.2533299,,,
36.48322059,127.2534042,,,
36.48317158,127.2530533,,,
36.48307446,127.2530433,,,
36.48288166,127.2531131,,,
36.48418266,127.2524741,,,
36.48418115,127.2523389,,,
36.48405932,127.2521693,,,
36.48393795,127.2521608,,,
36.48377958,127.2523252,,,
36.48379484,127.2524886,,,
36.48392314,127.2526565,,,
36.48404721,127.2526467,,,
36.48375411,127.251885,,,
36.48368397,127.2517927,,,
36.48422097,127.2512879,,,
36.48421813,127.2513814,,,
36.48412676,127.2512117,,,
36.48413332,127.2514675,,,
36.48407856,127.251474,,,
36.48402221,127.251376,,,
36.48442966,127.2516217,,,
36.48433296,127.2517407,,,
36.48459215,127.2518376,,,
36.48452311,127.2519437,,,
36.48521037,127.2502237,,,
36.48526269,127.2503428,,,
36.48537441,127.2507587,,,
36.4854464,127.2509882,,,
36.48581397,127.249994,,,
36.48584294,127.2501169,,,
36.4862011,127.2500997,,,
36.48632954,127.2500827,,,
36.48655592,127.2498987,,,
36.48656333,127.2500395,,,
36.48647567,127.2504833,,,
36.48639304,127.2504664,,,
36.48635133,127.2503984,,,
36.48625397,127.2504152,,,
36.48622252,127.2504657,,,
36.48615978,127.2505081,,,
36.48649743,127.2506809,,,
36.48643086,127.2507097,,,
36.48641187,127.250776,,,
36.48631728,127.2507614,,,
36.48626393,127.2507078,,,
36.48619246,127.250715,,,
36.48640036,127.2513725,,,
36.48649836,127.2513588,,,
36.48697847,127.251557,,,
36.48700322,127.2516704,,,
36.48699687,127.2498653,,,
36.48701971,127.2500172,,,
36.48708324,127.2503138,,,
36.48738918,127.2503918,,,
36.48728476,127.2503054,,,
36.48741903,127.2506553,,,
36.48737806,127.250736,,,
36.48716806,127.2507589,,,
36.48702855,127.25043,,,
36.48708557,127.2506875,,,
36.48751702,127.2513813,,,
36.48757325,127.2515665,,,
36.48757016,127.2516479,,,
36.48738544,127.2517176,,,
36.4873144,127.2516248,,,
36.48729133,127.2515087,,,
36.4889526,127.2501759,,,
36.48887299,127.2501554,,,
36.48898664,127.2504969,,,
36.48891096,127.2505642,,,
36.48869938,127.2501875,,,
36.48863852,127.2502537,,,
36.48875277,127.2506,,,
36.48867793,127.2505657,,,
36.4847485,127.2533313,,,
36.48475514,127.2532053,,,
36.48465414,127.2530813,,,
36.48461067,127.2534318,,,
36.48364709,127.2572987,,,
36.48370049,127.257429,,,
36.4837344,127.2574181,,,
36.48390928,127.2572923,,,
36.48388176,127.257331,,,
36.48386557,127.2571256,,,
36.48444911,127.2567626,,,
36.48447691,127.2568636,,,
36.4850392,127.256351,,,
36.48530206,127.2561782,,,
36.48519439,127.2561166,,,
36.48534075,127.2563193,,,
36.48531894,127.2564666,,,
36.48505713,127.2561996,,,
36.48518552,127.2565377,,,
36.48508561,127.2564971,,,
36.48689477,127.2555228,,,
36.48684825,127.2554217,,,
36.48773317,127.2551838,,,
36.4877134,127.2550581,,,
36.48885313,127.254682,,,
36.48888256,127.2548307,,,
36.48884537,127.2549282,,,
36.48870239,127.2549686,,,
36.48873076,127.2545645,,,
36.48859683,127.2546261,,,
36.48857645,127.2547417,,,
36.48859527,127.2548674,,,
36.48949973,127.2545081,,,
36.48952626,127.2546737,,,
36.48977833,127.2544501,,,
36.48981831,127.2545951,,,
36.48977869,127.254639,,,
36.48970419,127.2544196,,,
36.48954105,127.2544762,,,
36.48962993,127.2546806,,,
36.48566656,127.2573443,,,
36.48553328,127.2574358,,,
36.48902921,127.2557285,,,
36.48888573,127.2557776,,,
36.4855089,127.2488901,1156,세종특별자치시  새롬동 2261-15번지,232.0
36.4855089,127.2488901,1160,세종특별자치시  새롬동 341-23번지,17.0
36.4860557,127.2552977,1165,세종특별자치시  새롬동 569번지,117.0
36.484604,127.2525201,1166,세종특별자치시  새롬동 574번지,1694.0
36.4869177,127.2512455,1167,세종특별자치시  새롬동 579번지,183.0
36.4851437,127.2505475,1168,세종특별자치시  새롬동 66-1번지,95.0
36.4855089,127.2488901,1169,세종특별자치시  새롬동 74-31번지,20.0
