위도,경도,index,대지위치,총주차대수(대)
36.47855,127.30451,,,
36.47855,127.30451,,,
36.47855,127.30451,,,
36.47855,127.30451,,,
36.47855,127.30451,,,
36.47968,127.30823,,,
36.47968,127.30823,,,
36.47968,127.30823,,,
36.47968,127.30823,,,
36.47968,127.30823,,,
36.4787,127.30443,,,
36.4787,127.30443,,,
36.4787,127.30443,,,
36.4787,127.30443,,,
36.4787,127.30443,,,
36.482577,127.307453,,,
36.482577,127.307453,,,
36.48246,127.30716,,,
36.48246,127.30716,,,
36.480783,127.298935,,,
36.480783,127.298935,,,
36.480852,127.299973,,,
36.480852,127.299973,,,
36.490645,127.29862,,,
36.490645,127.29862,,,
36.490645,127.29862,,,
36.490645,127.29862,,,
36.490645,127.29862,,,
36.489887,127.29846,,,
36.489887,127.29846,,,
36.489887,127.29846,,,
36.489887,127.29846,,,
36.489887,127.29846,,,
36.482457,127.297267,,,
36.482457,127.297267,,,
36.482457,127.297267,,,
36.482377,127.297703,,,
36.482377,127.297703,,,
36.482377,127.297703,,,
36.482377,127.297703,,,
36.482377,127.297703,,,
36.482638,127.297737,,,
36.482638,127.297737,,,
36.482638,127.297737,,,
36.48271,127.297323,,,
36.48271,127.297323,,,
36.48271,127.297323,,,
36.48271,127.297323,,,
36.48271,127.297323,,,
36.487095,127.301743,,,
36.487095,127.301743,,,
36.487095,127.301743,,,
36.486842,127.301428,,,
36.486842,127.301428,,,
36.486842,127.301428,,,
36.479802,127.308112,,,
36.479802,127.308112,,,
36.479802,127.308112,,,
36.479802,127.308112,,,
36.479802,127.308112,,,
36.48155,127.304532,,,
36.48155,127.304532,,,
36.481542,127.302773,,,
36.481542,127.302773,,,
36.48474,127.304485,,,
36.48474,127.304485,,,
36.48451,127.30424,,,
36.48451,127.30424,,,
36.49145214,127.3000018,,,
36.49136312,127.2999159,,,
36.49072984,127.3010529,,,
36.49066253,127.3009739,,,
36.49073704,127.3010318,,,
36.49074626,127.3011727,,,
36.49067818,127.3012544,,,
36.49057504,127.3012928,,,
36.49050565,127.3012156,,,
36.49011441,127.3021594,,,
36.49011669,127.302059,,,
36.4900346,127.302002,,,
36.48992579,127.3020169,,,
36.48989113,127.3021165,,,
36.48980284,127.3025831,,,
36.48971862,127.302502,,,
36.48778828,127.302288,,,
36.48763004,127.3022471,,,
36.48736004,127.3035413,,,
36.48725159,127.3034665,,,
36.48720697,127.3035077,,,
36.48710929,127.3037455,,,
36.48678681,127.3051691,,,
36.48666556,127.3051164,,,
36.48681785,127.305297,,,
36.48676553,127.3054339,,,
36.48609177,127.3049292,,,
36.48603919,127.3050742,,,
36.48592888,127.3048276,,,
36.48586747,127.3049781,,,
36.48595876,127.3051225,,,
36.48588466,127.3050766,,,
36.49141105,127.2992295,,,
36.4913157,127.2994617,,,
36.49045472,127.2985101,,,
36.49036409,127.2986958,,,
36.48979201,127.2980524,,,
36.4897216,127.2982613,,,
36.48956169,127.2981945,,,
36.48943733,127.2981318,,,
36.48925008,127.2987285,,,
36.48918438,127.2986699,,,
36.4892484,127.2988249,,,
36.48916237,127.2989802,,,
36.48911506,127.2990391,,,
36.48902889,127.2989552,,,
36.48903411,127.2988795,,,
36.48909666,127.2987578,,,
36.48877675,127.2974738,,,
36.48869281,127.2976559,,,
36.48830384,127.2978236,,,
36.488159,127.2977649,,,
36.48809997,127.2970985,,,
36.48803257,127.2972997,,,
36.48790454,127.2985307,,,
36.48778557,127.2984197,,,
36.48715109,127.2965613,,,
36.48707173,127.2967778,,,
36.48700955,127.2973984,,,
36.48692869,127.2973629,,,
36.48634517,127.2987152,,,
36.48628128,127.2988274,,,
36.48633772,127.2986275,,,
36.48625587,127.2985584,,,
36.48619553,127.29859,,,
36.48613442,127.2987013,,,
36.48622776,127.2988635,,,
36.48613643,127.2987749,,,
36.48632794,127.2960932,,,
36.48626396,127.2962506,,,
36.48570514,127.2955965,,,
36.48560405,127.2957872,,,
36.48582304,127.2963788,,,
36.48569569,127.2962855,,,
36.48488924,127.2980479,,,
36.48478029,127.2979341,,,
36.48489027,127.298122,,,
36.48482759,127.298229,,,
36.48476614,127.2982742,,,
36.48464317,127.2981659,,,
36.4845206,127.2986474,,,
36.48452141,127.2987372,,,
36.48445548,127.2988652,,,
36.48445647,127.2986005,,,
36.48440399,127.2988839,,,
36.48432819,127.2988199,,,
36.48433323,127.2994074,,,
36.48413247,127.299692,,,
36.48420713,127.2991779,,,
36.48410144,127.2990631,,,
36.48755813,127.301698,,,
36.48744866,127.3016609,,,
36.48736457,127.3016551,,,
36.48717017,127.3020184,,,
36.48789731,127.301164,,,
36.48783667,127.3012695,,,
36.48776965,127.3013037,,,
36.48769701,127.3012446,,,
36.48789319,127.3010732,,,
36.48783446,127.3010018,,,
36.48777343,127.3010584,,,
36.48769568,127.3011892,,,
36.48842359,127.3001992,,,
36.48836145,127.30014,,,
36.48828308,127.3001805,,,
36.48822935,127.3002701,,,
36.48830021,127.3004202,,,
36.48823777,127.3003505,,,
36.48919178,127.3015581,,,
36.48917755,127.3015614,,,
36.48912099,127.3017034,,,
36.48660501,127.3011642,,,
36.48638347,127.3015633,,,
36.48654937,127.3010217,,,
36.4863677,127.3008976,,,
36.48617919,127.3009329,,,
36.48600223,127.3012729,,,
36.4862602,127.301667,,,
36.48600603,127.3014358,,,
36.48586353,127.3024561,,,
36.48576186,127.3026583,,,
36.48586014,127.3023662,,,
36.4855902,127.3021624,,,
