위도,경도,index,대지위치,총주차대수(대)
36.4654,127.24613,,,
36.4654,127.24613,,,
36.46513,127.246,,,
36.46513,127.246,,,
36.478,127.26135,,,
36.478,127.26135,,,
36.478,127.26135,,,
36.47821,127.26117,,,
36.47821,127.26117,,,
36.47821,127.26117,,,
36.47542,127.25308,,,
36.47542,127.25308,,,
36.47542,127.25308,,,
36.47542,127.25308,,,
36.47542,127.25308,,,
36.4777,127.25004,,,
36.4777,127.25004,,,
36.4777,127.25004,,,
36.4777,127.25004,,,
36.4777,127.25004,,,
36.47998,127.25203,,,
36.47998,127.25203,,,
36.47998,127.25203,,,
36.47998,127.25203,,,
36.47998,127.25203,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.48334,127.25863,,,
36.47538,127.25558,,,
36.47538,127.25558,,,
36.47538,127.25558,,,
36.47491,127.2557,,,
36.47491,127.2557,,,
36.47491,127.2557,,,
36.48019,127.2516,,,
36.48019,127.2516,,,
36.48019,127.2516,,,
36.48019,127.2516,,,
36.48019,127.2516,,,
36.47762,127.24973,,,
36.47762,127.24973,,,
36.47762,127.24973,,,
36.47762,127.24973,,,
36.47762,127.24973,,,
36.47503,127.25326,,,
36.47503,127.25326,,,
36.47503,127.25326,,,
36.47503,127.25326,,,
36.47503,127.25326,,,
36.47061,127.2518,,,
36.47061,127.2518,,,
36.47062,127.25208,,,
36.47062,127.25208,,,
36.478,127.26135,,,
36.47998,127.25203,,,
36.47538,127.25558,,,
36.47503,127.25326,,,
36.47491,127.2557,,,
36.47762,127.24973,,,
36.48334,127.25863,,,
36.4777,127.25004,,,
36.47821,127.26117,,,
36.47542,127.25308,,,
36.48019,127.2516,,,
36.480262,127.249415,,,
36.467585,127.242468,,,
36.46751,127.24234,,,
36.47955281,127.246648,,,
36.47937824,127.2467452,,,
36.4796233,127.2475054,,,
36.47967389,127.2476611,,,
36.48010656,127.2490521,,,
