시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,지정일자,지정근거,지정절차
유치원,한빛유치원,세종특별자치시 시청대로 106,36.47832723,127.2840469,세종특별자치시,세종남부경찰서,Y,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,솔비타어린이집,세종특별자치시 도움8로 11-20,36.50808948,127.2639131,세종특별자치시,세종남부경찰서,Y,2017-12-27,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
유치원,새솔유치원,세종특별자치시 다정4길 15,36.49821261,127.2376787,세종특별자치시,세종남부경찰서,Y,2018-09-04,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,정희어린이집,세종특별자치시 금남면 성덕영곡길 11-68,36.45578838,127.2818141,세종특별자치시,세종남부경찰서,N,2020-12-31,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,꿈샘어린이집,세종특별자치시 밀마루길 6,36.50374182,127.2574831,세종특별자치시,세종남부경찰서,N,2020-09-16,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,반곡초등학교,세종특별자치시 시청대로 468,36.50029158,127.3105162,세종특별자치시,세종남부경찰서,Y,2019-06-10,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,세종영재어린이집,세종특별자치시 조치원읍 도화로 58,36.5890279286,127.2983152680,세종특별자치시,세종북부경찰서,Y,2018-10-24,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,솔빛초등학교,세종특별자치시 반곡2길 21,36.4957602218,127.3122736940,세종특별자치시,세종남부경찰서,Y,2019-02-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
유치원,솔빛숲유치원,세종특별자치시 반곡3길 10,36.494017,127.3139697,세종특별자치시,세종남부경찰서,Y,2019-02-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,차오름어린이집,세종특별자치시 다솜3로 15,36.4970321853,127.2662658921,세종특별자치시,세종남부경찰서,Y,2019-06-10,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,해밀초등학교,세종특별자치시 해밀1로 73,36.5255504,127.2684762,세종특별자치시,세종남부경찰서,Y,2020-09-16,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,나성초등학교,세종특별자치시 갈매로 294,36.4900327,127.2641645,세종특별자치시,세종남부경찰서,Y,2020-12-31,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
어린이집,세종푸르니어린이집,세종특별자치시 남세종로 254,36.4828659001,127.3103553227,세종특별자치시,세종남부경찰서,Y,2021-11-11,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,집현초등학교,세종특별자치시 집현서로 23,36.4889294,127.3199783,세종특별자치시,세종남부경찰서,N,2022-02-28,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
유치원,슬기유치원,세종특별자치시 만남로 264,36.5204618267,127.2417668877,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,나루초등학교,세종특별자치시 집현서로 90,36.494989,127.323226,세종특별자치시,세종남부경찰서,Y,2023-02-28,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
특수학교,세종이음학교,세종특별자치시 집현부강로 15,36.5002851,127.3371607,세종특별자치시,세종남부경찰서,N,2023-02-28,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
