사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022080600100368,2022년 8월 6일 17시,토요일,세종특별자치시 장군면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,여,38세,경상
2022080600100393,2022년 8월 6일 18시,토요일,세종특별자치시 아름동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,67세,중상
2022080700100317,2022년 8월 7일 19시,일요일,세종특별자치시 금남면,경상사고,0,0,5,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,여,36세,경상
2022080800100267,2022년 8월 8일 14시,월요일,세종특별자치시 전의면,사망사고,1,0,0,0,차량단독 - 도로외이탈 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,81세 이상,사망,,,,
2022080800100391,2022년 8월 8일 17시,월요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,승용,여,45세,상해없음,승용,여,27세,경상
2022080900100124,2022년 8월 9일 09시,화요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,젖음/습기,흐림,교차로 - 교차로안,승용,남,53세,상해없음,승용,여,69세,중상
2022080900100236,2022년 8월 9일 13시,화요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,34세,상해없음,자전거,남,81세 이상,경상
2022081000100013,2022년 8월 10일 00시,수요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,남,52세,상해없음,승용,남,27세,중상
2022081000100411,2022년 8월 10일 18시,수요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,45세,상해없음,보행자,남,31세,경상
2022081100100486,2022년 8월 11일 22시,목요일,세종특별자치시 대평동,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,젖음/습기,비,교차로 - 교차로안,승용,남,42세,상해없음,이륜,여,45세,중상
2022081100100497,2022년 8월 11일 23시,목요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,40세,경상
2022081100100498,2022년 8월 11일 23시,목요일,세종특별자치시 다정동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,승용,남,28세,경상
2022081200100395,2022년 8월 12일 16시,금요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,20세 이하,상해없음,승용,여,42세,부상신고
2022081200100444,2022년 8월 12일 17시,금요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,34세,상해없음,승용,여,52세,경상
2022081200100623,2022년 8월 12일 22시,금요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,여,59세,상해없음,승용,남,54세,경상
2022081300100282,2022년 8월 13일 14시,토요일,세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,교차로 - 교차로부근,승용,남,68세,경상,화물,남,60세,경상
2022081300100342,2022년 8월 13일 16시,토요일,세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,승용,남,34세,경상
2022081300100499,2022년 8월 13일 21시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,53세,경상
2022081500100434,2022년 8월 15일 22시,월요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,이륜,남,49세,상해없음,승용,여,55세,부상신고
2022081600100098,2022년 8월 16일 08시,화요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로부근,승용,남,64세,상해없음,승용,여,53세,경상
2022081600100099,2022년 8월 16일 08시,화요일,세종특별자치시 산울동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,44세,경상
2022081600100577,2022년 8월 16일 23시,화요일,세종특별자치시 반곡동,중상사고,0,1,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,43세,중상,승용,여,23세,경상
2022081700100117,2022년 8월 17일 08시,수요일,세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,여,31세,경상
2022081700100447,2022년 8월 17일 17시,수요일,세종특별자치시 금남면,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,25세,기타불명,보행자,남,54세,부상신고
2022081700100637,2022년 8월 17일 23시,수요일,세종특별자치시 어진동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,건조,흐림,교차로 - 교차로안,승용,남,48세,상해없음,승용,여,38세,부상신고
2022081800100114,2022년 8월 18일 08시,목요일,세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,38세,상해없음,이륜,남,61세,경상
2022081800100284,2022년 8월 18일 13시,목요일,세종특별자치시 전의면,경상사고,0,0,6,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,69세,상해없음,승용,남,50세,경상
2022081800100377,2022년 8월 18일 16시,목요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,흐림,단일로 - 고가도로위,화물,남,48세,상해없음,승용,여,42세,중상
2022081800100378,2022년 8월 18일 16시,목요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),여,20세 이하,상해없음,보행자,여,34세,경상
2022081800100527,2022년 8월 18일 20시,목요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,남,18세,경상
2022081900100263,2022년 8월 19일 12시,금요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,78세,상해없음,승용,여,31세,경상
2022081900100389,2022년 8월 19일 16시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,남,41세,기타불명,승용,여,49세,경상
2022081900100436,2022년 8월 19일 17시,금요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,12세 이하,경상
2022081900100484,2022년 8월 19일 18시,금요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승합,여,34세,상해없음,보행자,여,49세,경상
2022081900100485,2022년 8월 19일 18시,금요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,자전거,남,77세,경상,승합,남,28세,상해없음
2022081900100563,2022년 8월 19일 20시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,이륜,남,19세,경상
2022081900100588,2022년 8월 19일 21시,금요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,60세,상해없음,보행자,여,12세 이하,경상
2022081900100626,2022년 8월 19일 23시,금요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,이륜,남,35세,중상
2022082000100128,2022년 8월 20일 09시,토요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,건조,흐림,단일로 - 기타,화물,남,56세,상해없음,승용,여,40세,경상
2022082000100250,2022년 8월 20일 12시,토요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,59세,경상
2022082000100251,2022년 8월 20일 12시,토요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,승합,남,52세,경상
2022082000100301,2022년 8월 20일 13시,토요일,세종특별자치시 어진동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,20세 이하,상해없음,승용,여,34세,경상
2022082000100422,2022년 8월 20일 16시,토요일,세종특별자치시 나성동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,여,12세 이하,중상
