위도,경도
36.6000982,127.3036119
36.6002388,127.3028029
36.6003487,127.2890938
36.6004155,127.2954032
36.6005895,127.2978239
36.6007604,127.2890474
36.6011463,127.2889736
36.6012191,127.295816
36.6013323,127.2911846
36.6014418,127.2975009
36.6014999,127.3030563
36.6016156,127.288058
36.6016801,127.2904887
36.60185,127.2989272
36.6021417,127.2890887
36.6022163,127.3017647
36.6023608,127.2890705
36.602544,127.2989544
36.6026663,127.2969129
36.6028702,127.2904253
36.6030637,127.2981247
36.6031611,127.2968431
36.6033732,127.2986216
36.6034181,127.2865675
36.6035674,127.3006393
36.6036772,127.2971783
36.6037189,127.2904399
36.6038707,127.2904149
36.603994,127.3005782
36.6040541,127.2937427
36.6042342,127.2941335
36.6043613,127.292332
36.6044326,127.28831
36.6044874,127.2906137
36.6045387,127.2910798
36.6047677,127.2899339
36.6048758,127.2910161
36.6049246,127.2914987
36.6050661,127.2914769
36.6051481,127.2916974
36.6053737,127.2945621
36.6054786,127.292905
36.6056393,127.3007434
36.6058993,127.2890935
36.6061886,127.2915301
36.6062433,127.2913084
36.6064637,127.2989399
36.6066572,127.2933528
36.6068021,127.2855655
36.6068968,127.2887692
36.6070214,127.2861537
36.6071061,127.2934859
36.6071895,127.2997613
36.6073175,127.2846114
36.6080181,127.2932392
36.6081535,127.2919183
36.6082707,127.2848204
36.6086357,127.2920122
36.6113618,127.2963068
36.6120492,127.2983362
36.6129758,127.2960328
36.613633,127.2902726
36.6140302,127.2922709
36.6146664,127.2908935
36.6152449,127.28836
36.6159343,127.2863099
36.6169441,127.2858237
36.6173245,127.2878254
36.6175938,127.2884028
36.6179722,127.2900424
36.6184305,127.2883793
