latitude,longitude
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.51497,127.258793
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.514017,127.259393
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498932,127.25491
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.498655,127.255035
36.4654,127.24613
36.4654,127.24613
36.46513,127.246
36.46513,127.246
36.49915,127.24736
36.49915,127.24736
36.499447,127.246608
36.499447,127.246608
36.499447,127.246608
36.53181,127.24442
36.50712,127.26767
36.50712,127.26767
36.50712,127.26767
36.50712,127.26767
36.50712,127.26767
36.50712,127.26767
36.50712,127.26767
36.47582,127.23838
36.47564,127.23857
36.478,127.26135
36.478,127.26135
36.478,127.26135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.46863,127.28135
36.51233,127.2668
36.51483,127.25896
36.51483,127.25896
36.51483,127.25896
36.505068,127.261505
36.505068,127.261505
36.505068,127.261505
36.481082,127.261782
36.481082,127.261782
36.481082,127.261782
36.469265,127.273813
36.469265,127.273813
36.469265,127.273813
36.469265,127.273813
36.469265,127.273813
36.4693,127.274002
36.4693,127.274002
36.4693,127.274002
36.4693,127.274002
36.4693,127.274002
36.48034,127.26243
36.48034,127.26243
36.48034,127.26243
36.504175,127.261162
36.504175,127.261162
36.504175,127.261162
36.514065,127.259187
36.514065,127.259187
36.514065,127.259187
36.47133,127.28601
36.47133,127.28601
36.47133,127.28601
36.47133,127.28601
36.47133,127.28601
36.47375,127.28835
36.47375,127.28835
36.47375,127.28835
36.47375,127.28835
36.47375,127.28835
36.47625,127.29646
36.47625,127.29646
36.47625,127.29646
36.47625,127.29646
36.47625,127.29646
36.47755,127.29868
36.47755,127.29868
36.47755,127.29868
36.47755,127.29868
36.47755,127.29868
36.47855,127.30451
36.47855,127.30451
36.47855,127.30451
36.47855,127.30451
36.47855,127.30451
36.47968,127.30823
36.47968,127.30823
36.47968,127.30823
36.47968,127.30823
36.47968,127.30823
36.47998,127.31251
36.47998,127.31251
36.47998,127.31251
36.47998,127.31251
36.47998,127.31251
36.48083,127.31665
36.48083,127.31665
36.48083,127.31665
36.48083,127.31665
36.48083,127.31665
36.48109,127.3239
36.48155,127.32545
36.4866,127.3216
36.48908,127.32385
36.49373,127.32559
36.4985,127.32806
36.49956,127.33358
36.499955,127.333458
36.49863,127.32799
36.49376,127.32512
36.48918,127.32355
36.48666,127.32141
36.48164,127.32523
36.48096,127.31679
36.48096,127.31679
36.48096,127.31679
36.48096,127.31679
36.48096,127.31679
36.48011,127.31254
36.48011,127.31254
36.48011,127.31254
36.48011,127.31254
36.48011,127.31254
36.4787,127.30443
36.4787,127.30443
36.4787,127.30443
36.4787,127.30443
36.4787,127.30443
36.47765,127.29841
36.47765,127.29841
36.47765,127.29841
36.47765,127.29841
36.47765,127.29841
36.47643,127.29645
36.47643,127.29645
36.47643,127.29645
36.47643,127.29645
36.47643,127.29645
36.47197,127.28629
36.47197,127.28629
36.47197,127.28629
36.47197,127.28629
36.47197,127.28629
36.4745,127.3184
36.4745,127.3184
36.4745,127.3184
36.4745,127.3184
36.47452,127.31857
36.47452,127.31857
36.47452,127.31857
36.47452,127.31857
36.48012,127.32997
36.48012,127.32997
36.48012,127.32997
36.48012,127.32997
36.47403,127.33406
36.47403,127.33406
36.46787,127.33543
36.46787,127.33543
36.4678,127.33567
36.4678,127.33567
36.47385,127.3342
36.47385,127.3342
36.48021,127.32967
36.48021,127.32967
36.48021,127.32967
36.48021,127.32967
36.47949,127.33524
36.47949,127.33524
36.47936,127.3358
36.47936,127.3358
36.52854,127.263968
36.52854,127.263968
36.52854,127.263968
36.52854,127.263968
36.529672,127.264673
36.529672,127.264673
36.529672,127.264673
36.529672,127.264673
36.529672,127.264673
36.48685,127.25785
36.48685,127.25785
36.48685,127.25785
36.493925,127.256397
36.493925,127.256397
36.493925,127.256397
36.500887,127.259618
36.500887,127.259618
36.500887,127.259618
36.528652,127.26389
36.528652,127.26389
36.528652,127.26389
36.52963,127.26478
36.52963,127.26478
36.52963,127.26478
36.50173,127.25991
36.50173,127.25991
36.50173,127.25991
36.49491,127.25649
36.49491,127.25649
36.49491,127.25649
36.48771,127.25729
36.48771,127.25729
36.48771,127.25729
36.46472,127.28097
36.46472,127.28097
36.46472,127.28097
36.46472,127.28097
36.46472,127.28097
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.46842,127.2813
36.50435,127.26735
36.50435,127.26735
36.50435,127.26735
36.50435,127.26735
36.50435,127.26735
36.50435,127.26735
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.50515,127.261382
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.500832,127.25934
36.493857,127.256185
36.493857,127.256185
36.493857,127.256185
36.493857,127.256185
36.493857,127.256185
36.487738,127.257128
36.487738,127.257128
36.487738,127.257128
36.487738,127.257128
36.487738,127.257128
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.481135,127.261553
36.47821,127.26117
36.47821,127.26117
36.47821,127.26117
36.47542,127.25308
36.47542,127.25308
36.47542,127.25308
36.47542,127.25308
36.47542,127.25308
36.4777,127.25004
36.4777,127.25004
36.4777,127.25004
36.4777,127.25004
36.4777,127.25004
36.47998,127.25203
36.47998,127.25203
36.47998,127.25203
36.47998,127.25203
36.47998,127.25203
36.48334,127.25863
36.48334,127.25863
36.48334,127.25863
36.48334,127.25863
36.48334,127.25863
36.48334,127.25863
36.48334,127.25863
36.481288,127.26187
36.481288,127.26187
36.481288,127.26187
